Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Município do Curso;Sigla da UF;Conceito Enade (Contínuo);Conceito Enade (Faixa);
284;FACULDADE DE MEDICINA DE ITAJUBÁ;FMIT;Faculdade;Privada sem fins lucrativos;Itajubá;MG;2,0085;3;0
294;FACULDADE TRÊS DE MAIO;SETREM;Faculdade;Privada sem fins lucrativos;Três de Maio;RS;2,0807;3;0
295;UNIVERSIDADE DE SANTA CRUZ DO SUL;UNISC;Universidade;Privada sem fins lucrativos;Santa Cruz do Sul;RS;2,7916;3;0
296;Centro Universitário da Região da Campanha;;Centro Universitário;Privada sem fins lucrativos;Bagé;RS;1,8271;2;0
298;UNIVERSIDADE PITÁGORAS UNOPAR;;Universidade;Privada com fins lucrativos;Londrina;PR;1,8503;2;0
307;FACULDADE DE MEDICINA DE BARBACENA;FAME;Faculdade;Privada sem fins lucrativos;Barbacena;MG;2,484;3;0
308;UNIVERSIDADE PRESIDENTE ANTÔNIO CARLOS;UNIPAC;Universidade;Privada sem fins lucrativos;Barbacena;MG;2,0617;3;0
316;UNIVERSIDADE NOVE DE JULHO;UNINOVE;Universidade;Privada sem fins lucrativos;São Paulo;SP;1,5155;2;0
319;UNIVERSIDADE BRASIL;;Universidade;Privada sem fins lucrativos;Fernandópolis;SP;0,2472;1;0
322;UNIVERSIDADE PAULISTA;UNIP;Universidade;Privada com fins lucrativos;São Paulo;SP;1,6186;2;0
330;UNIVERSIDADE IGUAÇU;UNIG;Universidade;Privada sem fins lucrativos;Itaperuna;RJ;2,322;3;0
336;FACULDADE MACHADO SOBRINHO;FMS;Faculdade;Privada sem fins lucrativos;Juiz de Fora;MG;2,4918;3;0
337;CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA;CES/JF;Faculdade;Privada sem fins lucrativos;Juiz de Fora;MG;3,0752;4;0
338;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;PUC MINAS;Universidade;Privada sem fins lucrativos;Belo Horizonte;MG;3,1868;4;0
339;FACULDADE DE JOÃO PESSOA (SANTA EMÍLIA DO RODAT);;Faculdade;Privada sem fins lucrativos;João Pessoa;PB;1,6105;2;0
343;CENTRO UNIVERSITÁRIO NEWTON PAIVA;NEWTON PAIVA;Centro Universitário;Privada com fins lucrativos;Belo Horizonte;MG;2,5001;3;0
344;CENTRO UNIVERSITÁRIO UNA;UNA;Centro Universitário;Privada com fins lucrativos;Belo Horizonte;MG;2,2586;3;0
345;ESCOLA DE ENGENHARIA KENNEDY;EEK;Faculdade;Privada sem fins lucrativos;Belo Horizonte;MG;2,2733;3;0
346;INSTITUTO SUPERIOR DE CIÊNCIAS APLICADAS - ISCA;ISCA;Faculdade;Privada sem fins lucrativos;Limeira;SP;2,1809;3;0
349;CENTRO UNIVERSITÁRIO DE BELO HORIZONTE;UNI-BH;Centro Universitário;Privada com fins lucrativos;Belo Horizonte;MG;2,2336;3;0
351;FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS;FCMMG;Faculdade;Privada sem fins lucrativos;Belo Horizonte;MG;3,9306;4;0
352;CENTRO UNIVERSITÁRIO DE JOÃO PESSOA;UNIPÊ;Centro Universitário;Privada com fins lucrativos;João Pessoa;PB;2,5715;3;0
353;FACULDADE EVANGÉLICA MACKENZIE DO PARANÁ;FEMPAR;Faculdade;Privada sem fins lucrativos;Curitiba;PR;2,282;3;0
355;UNIVERSIDADE TUIUTI DO PARANÁ;UTP;Universidade;Privada com fins lucrativos;Curitiba;PR;1,4391;2;0
368;FACULDADE DE EDUCAÇÃO FÍSICA DA ASSOCIAÇÃO CRISTÃ DE MOÇOS DE SOROCABA;FEFISO;Faculdade;Privada sem fins lucrativos;Sorocaba;SP;2,3608;3;0
374;CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS;FMU;Centro Universitário;Privada sem fins lucrativos;São Paulo;SP;;SC;0
375;UNIVERSIDADE SANTO AMARO;UNISA;Universidade;Privada sem fins lucrativos;São Paulo;SP;1,6071;2;0
376;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO;;Centro Universitário;Privada com fins lucrativos;São Paulo;SP;1,7002;2;0
383;UNIVERSIDADE DA AMAZÔNIA;UNAMA;Universidade;Privada com fins lucrativos;Belém;PA;2,0201;3;0
384;CENTRO UNIVERSITÁRIO DE ANÁPOLIS;UNIEVANGÉLICA;Centro Universitário;Privada sem fins lucrativos;Anápolis;GO;1,7164;2;0
385;UNIVERSIDADE SALVADOR;UNIFACS;Universidade;Privada com fins lucrativos;Salvador;BA;2,3667;3;0
386;CENTRO UNIVERSITÁRIO DE GOIÁS;UNI-ANHANGÜERA;Centro Universitário;Privada com fins lucrativos;Goiânia;GO;1,2856;2;0
387;UNIVERSIDADE CATÓLICA DOM BOSCO;UCDB;Universidade;Privada sem fins lucrativos;Campo Grande;MS;3,1285;4;0
396;Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden;Centro Universitário;Privada com fins lucrativos;Salvador;BA;1,5314;2;0
398;UNIVERSIDADE TIRADENTES;UNIT;Universidade;Privada com fins lucrativos;Aracaju;SE;0,5549;1;0
402;CENTRO UNIVERSITÁRIO DE BRASÍLIA;UNICEUB;Centro Universitário;Privada sem fins lucrativos;Brasília;DF;2,3145;3;0
403;UNIVERSIDADE CATÓLICA DE BRASÍLIA;UCB;Universidade;Privada sem fins lucrativos;Brasília;DF;2,4526;3;0
404;FACULDADES INTEGRADAS DA UPIS;UPIS;Faculdade;Privada sem fins lucrativos;Brasília;DF;1,4796;2;0
410;FACULDADE DE CIÊNCIAS HUMANAS ESUDA;FCHE;Faculdade;Privada sem fins lucrativos;Recife;PE;1,5532;2;0
415;FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA SÃO PAULO;FCMSCSP;Faculdade;Privada sem fins lucrativos;São Paulo;SP;2,5477;3;0
416;FACULDADE DE SÃO PAULO;FASP;Faculdade;Privada com fins lucrativos;São Paulo;SP;0,3388;1;0
417;UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;Universidade;Privada com fins lucrativos;São Paulo;SP;2,7182;3;0
420;UNIVERSIDADE DE MARÍLIA;UNIMAR;Universidade;Privada com fins lucrativos;Marília;SP;2,381;3;0
423;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;URI;Universidade;Privada sem fins lucrativos;Erechim;RS;2,7431;3;0
426;UNIVERSIDADE FRANCISCANA;UFN;Universidade;Privada sem fins lucrativos;Santa Maria;RS;0,7029;1;0
430;CENTRO UNIVERSITÁRIO FILADÉLFIA;UNIFIL;Centro Universitário;Privada sem fins lucrativos;Londrina;PR;3,5703;4;0
434;FACULDADE SANTA MARCELINA;FASM;Faculdade;Privada sem fins lucrativos;São Paulo;SP;2,1003;3;0
435;FACULDADE SANTA MARCELINA MURIAÉ - FASM;FASM;Faculdade;Privada sem fins lucrativos;Muriaé;MG;1,9095;2;0
437;UNIVERSIDADE PARANAENSE;UNIPAR;Universidade;Privada sem fins lucrativos;Umuarama;PR;1,0948;2;0
438;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ITUVERAVA;FFCL;Faculdade;Privada sem fins lucrativos;Ituverava;SP;1,4493;2;0
439;FACULDADE DOUTOR FRANCISCO MAEDA;FAFRAM;Faculdade;Privada sem fins lucrativos;Ituverava;SP;1,5475;2;0
441;UNIVERSIDADE DO CONTESTADO;UNC;Universidade;Privada sem fins lucrativos;Canoinhas;SC;1,1367;2;0
446;UNIVERSIDADE DE CRUZ ALTA;UNICRUZ;Universidade;Privada sem fins lucrativos;Cruz Alta;RS;1,8054;2;0
448;CENTRO UNIVERSITÁRIO RITTER DOS REIS;UNIRITTER;Centro Universitário;Privada com fins lucrativos;Porto Alegre;RS;2,2031;3;0
449;UNIVERSIDADE LUTERANA DO BRASIL;ULBRA;Universidade;Privada sem fins lucrativos;Canoas;RS;2,2473;3;0
450;Centro Universitário São Lucas Ji-Paraná;UniSL - Ji-Paraná;Centro Universitário;Privada com fins lucrativos;Ji-Paraná;RO;2,2609;3;0
451;CENTRO UNIVERSITÁRIO LUTERANO DE SANTARÉM;CEULS;Centro Universitário;Privada sem fins lucrativos;Santarém;PA;2,2285;3;0
452;CENTRO UNIVERSITÁRIO LUTERANO DE MANAUS;CEULM/ULBRA;Centro Universitário;Privada sem fins lucrativos;Manaus;AM;1,9538;3;0
453;CENTRO UNIVERSITÁRIO LUTERANO DE PALMAS;CEULP;Centro Universitário;Privada sem fins lucrativos;Palmas;TO;2,4782;3;0
454;FACULDADE CAMAQÜENSE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS;FACCCA;Faculdade;Privada sem fins lucrativos;Camaquã;RS;4,3288;5;0
456;CENTRO UNIVERSITÁRIO SANT¿ANNA;UNISANT'ANNA;Centro Universitário;Privada sem fins lucrativos;São Paulo;SP;1,4458;2;0
457;UNIVERSIDADE ANHANGUERA DE SÃO PAULO;UNIAN - SP;Universidade;Privada com fins lucrativos;São Bernardo do Campo;SP;1,9574;3;0
458;UNIVERSIDADE IBIRAPUERA;UNIB;Universidade;Privada sem fins lucrativos;São Paulo;SP;1,5255;2;0
461;FACULDADE ARMANDO ALVARES PENTEADO;FA-FAAP;Faculdade;Privada sem fins lucrativos;São Paulo;SP;1,8298;2;0
466;UNIVERSIDADE ANHEMBI MORUMBI;UAM;Universidade;Privada com fins lucrativos;São Paulo;SP;2,4277;3;0
472;UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY;UNIGRANRIO;Universidade;Privada com fins lucrativos;Duque de Caxias;RJ;;SC;0
475;FACULDADE DE MEDICINA DE PETRÓPOLIS;FMP;Faculdade;Privada sem fins lucrativos;Petrópolis;RJ;2,1393;3;0
480;CENTRO UNIVERSITÁRIO SERRA DOS ÓRGÃOS;UNIFESO;Centro Universitário;Privada sem fins lucrativos;Teresópolis;RJ;;SC;0
481;Universidade Universus Veritas Guarulhos;Univeritas UNG;Universidade;Privada sem fins lucrativos;Guarulhos;SP;1,732;2;0
482;UNIVERSIDADE DO EXTREMO SUL CATARINENSE;UNESC;Universidade;Privada sem fins lucrativos;Criciúma;SC;2,4739;3;0
483;CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO;UNIMESP;Centro Universitário;Privada sem fins lucrativos;Guarulhos;SP;0,9282;1;0
489;CENTRO UNIVERSITÁRIO DE VOLTA REDONDA;UNIFOA;Centro Universitário;Privada sem fins lucrativos;Volta Redonda;RJ;3,0103;4;0
490;CENTRO DE ENSINO SUPERIOR DE VALENÇA;CESVA;Faculdade;Privada sem fins lucrativos;Valença;RJ;2,1836;3;0
494;UNIVERSIDADE DO SUL DE SANTA CATARINA;UNISUL;Universidade;Privada sem fins lucrativos;Palhoça;SC;3,2675;4;0
496;UNIVERSIDADE DE FRANCA;UNIFRAN;Universidade;Privada com fins lucrativos;Franca;SP;1,2434;2;0
501;ESCOLA SUPERIOR DE CIÊNCIAS DA SANTA CASA DE MISERICÓRDIA DE VITÓRIA;EMESCAM;Faculdade;Privada sem fins lucrativos;Vitória;ES;2,8177;3;0
502;CENTRO UNIVERSITÁRIO SÃO JUDAS TADEU;CSJT;Centro Universitário;Privada com fins lucrativos;Santos;SP;1,8868;2;0
506;FACULDADE DE MEDICINA DE CAMPOS;FMC;Faculdade;Privada sem fins lucrativos;Campos dos Goytacazes;RJ;2,9687;4;0
510;FACULDADE WENCESLAU BRAZ;;Faculdade;Privada sem fins lucrativos;Itajubá;MG;2,922;3;0
513;UNIVERSIDADE VALE DO RIO DOCE;UNIVALE;Universidade;Privada sem fins lucrativos;Governador Valadares;MG;2,9674;4;0
514;CENTRO UNIVERSITÁRIO DE BARRA MANSA;UBM;Centro Universitário;Privada sem fins lucrativos;Barra Mansa;RJ;1,2523;2;0
515;CENTRO UNIVERSITÁRIO ANHANGUERA DE NITERÓI;UNIAN-RJ;Centro Universitário;Privada com fins lucrativos;Niterói;RJ;3,063;4;0
516;CENTRO UNIVERSITÁRIO DO RIO DE JANEIRO;UNIRJ;Centro Universitário;Privada sem fins lucrativos;Rio de Janeiro;RJ;;SC;0
517;FACULDADE DE EDUCAÇÃO SÃO LUÍS;FESL;Faculdade;Privada sem fins lucrativos;Jaboticabal;SP;1,185;2;0
518;CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL;UDF;Centro Universitário;Privada com fins lucrativos;Brasília;DF;1,4548;2;0
519;UNIVERSIDADE CATÓLICA DO SALVADOR;UCSAL;Universidade;Privada sem fins lucrativos;Salvador;BA;2,2641;3;0
521;UNIVERSIDADE DE MOGI DAS CRUZES;UMC;Universidade;Privada com fins lucrativos;Mogi das Cruzes;SP;2,4814;3;0
522;CENTRO UNIVERSITÁRIO CELSO LISBOA;UCL;Centro Universitário;Privada sem fins lucrativos;Rio de Janeiro;RJ;2,0186;3;0
526;CENTRO UNIVERSITÁRIO BRAZ CUBAS;;Centro Universitário;Privada com fins lucrativos;Mogi das Cruzes;SP;2,278;3;0
527;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS;PUC GOIÁS;Universidade;Privada sem fins lucrativos;Goiânia;GO;1,4597;2;0
528;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO;PUC-RIO;Universidade;Privada sem fins lucrativos;Rio de Janeiro;RJ;3,1189;4;0
532;UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL;UNIJUI;Universidade;Privada sem fins lucrativos;Ijuí;RS;2,0268;3;0
533;FACULDADES INTEGRADAS DE ITAPETININGA;FII;Faculdade;Privada sem fins lucrativos;Itapetininga;SP;2,1609;3;0
534;ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA;EBMSP;Faculdade;Privada sem fins lucrativos;Salvador;BA;4,6497;5;0
545;FACULDADE DE CIÊNCIAS ADMINISTRATIVAS E CONTÁBEIS DE ITABIRA;FACCI;Faculdade;Privada sem fins lucrativos;Itabira;MG;2,3665;3;0
546;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO;PUCSP;Universidade;Privada sem fins lucrativos;São Paulo;SP;2,8994;3;0
555;UNIVERSIDADE DE FORTALEZA;UNIFOR;Universidade;Privada sem fins lucrativos;Fortaleza;CE;2,4204;3;0
621;CENTRO UNIVERSITÁRIO CESMAC;CESMAC;Centro Universitário;Privada sem fins lucrativos;Maceió;AL;2,2403;3;0
622;FACULDADES INTEGRADAS SILVA E SOUZA;FAU;Faculdade;Privada sem fins lucrativos;Rio de Janeiro;RJ;2,0297;3;0
626;CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO;UNICNEC;Centro Universitário;Privada sem fins lucrativos;Osório;RS;2,3563;3;0
627;FACULDADE CNEC VARGINHA;;Faculdade;Privada sem fins lucrativos;Varginha;MG;1,8304;2;0
631;FACULDADE CNEC FARROUPILHA;;Faculdade;Privada sem fins lucrativos;Farroupilha;RS;2,275;3;0
637;FACULDADE DE ENGENHARIA SÃO PAULO;FESP;Faculdade;Privada sem fins lucrativos;São Paulo;SP;2,2558;3;0
641;UNIVERSIDADE LA SALLE;UNILASALLE;Universidade;Privada sem fins lucrativos;Canoas;RS;1,6869;2;0
645;Centro Universitário - Católica de Santa Catarina em Jaraguá do Sul;Católica em Jaraguá;Centro Universitário;Privada sem fins lucrativos;Jaraguá do Sul;SC;2,691;3;0
648;FACULDADES ASSOCIADAS DE UBERABA - FAZU;FAZU;Faculdade;Privada sem fins lucrativos;Uberaba;MG;;SC;0
661;FACULDADE PIO DÉCIMO;FPD;Faculdade;Privada com fins lucrativos;Aracaju;SE;1,5287;2;0
663;UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Universidade;Privada sem fins lucrativos;São Gonçalo;RJ;2,0922;3;0
664;UNIVERSIDADE VILA VELHA;UVV;Universidade;Privada sem fins lucrativos;Vila Velha;ES;3,6322;4;0
668;CENTRO UNIVERSITÁRIO DE ENSINO SUPERIOR DO AMAZONAS;CIESA;Centro Universitário;Privada com fins lucrativos;Manaus;AM;1,6978;2;0
669;UNIVERSIDADE NILTON LINS;UNINILTONLINS;Universidade;Privada sem fins lucrativos;Manaus;AM;0,6523;1;0
670;UNIVERSIDADE SÃO FRANCISCO;USF;Universidade;Privada sem fins lucrativos;Campinas;SP;1,9905;3;0
671;UNIVERSIDADE ANHANGUERA;UNIDERP;Universidade;Privada com fins lucrativos;Campo Grande;MS;3,9072;4;0
672;CENTRO UNIVERSITÁRIO FACENS;UniFACENS;Centro Universitário;Privada sem fins lucrativos;Sorocaba;SP;3,0866;4;0
673;CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS;UNIGRAN;Centro Universitário;Privada sem fins lucrativos;Dourados;MS;2,5163;3;0
677;FACULDADE DE REABILITAÇÃO DA ASCE;FRASCE;Faculdade;Privada sem fins lucrativos;Rio de Janeiro;RJ;1,2069;2;0
682;FACULDADE DO NOROESTE DE MINAS;FINOM;Faculdade;Privada com fins lucrativos;Paracatu;MG;3,3473;4;0
