Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Município do Curso;Sigla da UF;Conceito Enade (Contínuo);Conceito Enade (Faixa);
1461;CENTRO UNIVERSIÁRIO UNIFTC SALVADOR;;Centro Universitário;Privada com fins lucrativos;Salvador;BA;2,731;3;0
1462;INSTITUTO PARAIBANO DE ENSINO RENOVADO;INPER;Faculdade;Privada com fins lucrativos;João Pessoa;PB;1,4595;2;0
1465;FACULDADE DE RIBEIRÃO PRETO;AFARP;Faculdade;Privada com fins lucrativos;Ribeirão Preto;SP;0,573;1;0
1468;FACULDADE ESAMC UBERLÂNDIA;ESAMC;Faculdade;Privada com fins lucrativos;Uberlândia;MG;;SC;0
1472;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Centro Universitário;Privada com fins lucrativos;Indaial;SC;1,5252;2;0
1478;FACULDADE ANHANGUERA DE SÃO BERNARDO;;Faculdade;Privada com fins lucrativos;São Bernardo do Campo;SP;1,5635;2;0
1484;FACULDADE IBMEC;IBMEC;Faculdade;Privada com fins lucrativos;Belo Horizonte;MG;3,3224;4;0
1486;FACULDADE ESTÁCIO DE SÁ DE VITÓRIA;FESV;Faculdade;Privada com fins lucrativos;Vitória;ES;2,7622;3;0
1487;CENTRO UNIVERSITÁRIO UNIDOM - BOSCO;UNIDOM - BOSCO;Centro Universitário;Privada com fins lucrativos;Curitiba;PR;2,7995;3;0
1490;CENTRO UNIVERSITÁRIO DE JAGUARIÚNA;UniFAJ;Centro Universitário;Privada com fins lucrativos;Jaguariúna;SP;2,9801;4;0
1491;CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Centro Universitário;Privada com fins lucrativos;Curitiba;PR;1,5612;2;0
1492;FACULDADE PITÁGORAS DE UBERLÂNDIA;PIT UBERLÂNDIA;Faculdade;Privada com fins lucrativos;Uberlândia;MG;2,8089;3;0
1493;CENTRO UNIVERSITÁRIO ALVES FARIA;UNIALFA;Centro Universitário;Privada com fins lucrativos;Goiânia;GO;2,8973;3;0
1494;CENTRO UNIVERSITÁRIO CATÓLICO DE VITÓRIA;;Centro Universitário;Privada sem fins lucrativos;Vitória;ES;2,1604;3;0
1498;INSTITUTO DE ENSINO SUPERIOR E FORMAÇÃO AVANÇADA DE VITÓRIA;FAVI;Faculdade;Privada com fins lucrativos;Vitória;ES;1,2544;2;0
1499;FACULDADE ANHANGUERA DE TABOÃO DA SERRA;FATS;Faculdade;Privada com fins lucrativos;Taboão da Serra;SP;1,9081;2;0
1500;FACULDADE DE ENSINO SUPERIOR DE SÃO MIGUEL DO IGUAÇU;FAESI;Faculdade;Privada com fins lucrativos;São Miguel do Iguaçu;PR;3,2172;4;0
1502;FACULDADE ANHANGUERA PITÁGORAS DE JUNDIAÍ;;Faculdade;Privada com fins lucrativos;Jundiaí;SP;1,0125;2;0
1504;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE MACEIÓ;UNINASSAU MACEIÓ;Centro Universitário;Privada sem fins lucrativos;Maceió;AL;0,6504;1;0
1506;Faculdade CNEC Itajaí;;Faculdade;Privada sem fins lucrativos;Itajaí;SC;1,7768;2;0
1508;Centro Universitário Metropolitano de Maringá;UNIFAMMA;Centro Universitário;Privada com fins lucrativos;Maringá;PR;2,8266;3;0
1509;Centro Universitário Estácio de Belo Horizonte - Estácio BH;ESTÁCIO BH;Centro Universitário;Privada com fins lucrativos;Belo Horizonte;MG;1,742;2;0
1510;CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;;Centro Universitário;Privada com fins lucrativos;São José;SC;2,4099;3;0
1513;FACULDADE PITÁGORAS INSTITUTO CAMILLO FILHO;PITÁGORAS ICF;Faculdade;Privada com fins lucrativos;Teresina;PI;2,321;3;0
1514;FACULDADE VALE DO CRICARÉ;F.V.C.;Faculdade;Privada com fins lucrativos;São Mateus;ES;1,9618;3;0
1515;FACULDADE DE EDUCAÇÃO DE PORTO VELHO;UNIRON;Faculdade;Privada com fins lucrativos;Porto Velho;RO;1,71;2;0
1518;FACULDADE ANHANGUERA DE TAGUATINGA;;Faculdade;Privada com fins lucrativos;Brasília;DF;2,2378;3;0
1519;FACULDADE DE PATO BRANCO;FADEP;Faculdade;Privada com fins lucrativos;Pato Branco;PR;2,0231;3;0
1521;FACULDADE ESTÁCIO DE BELÉM - ESTÁCIO BELÉM;ESTÁCIO BELÉM;Faculdade;Privada com fins lucrativos;Belém;PA;1,462;2;0
1536;FACULDADE DE TELÊMACO BORBA;FATEB;Faculdade;Privada com fins lucrativos;Telêmaco Borba;PR;0,7487;1;0
1540;INSTITUTO DE ENSINO SUPERIOR DE RONDÔNIA;IESUR;Faculdade;Privada sem fins lucrativos;Ariquemes;RO;1,1778;2;0
1541;FACULDADE FLAMINGO;;Faculdade;Privada com fins lucrativos;São Paulo;SP;0,8486;1;0
1542;CENTRO UNIVERSITÁRIO GERALDO DI BIASE;UGB;Centro Universitário;Privada sem fins lucrativos;Volta Redonda;RJ;2,0066;3;0
1546;FACULDADE DE EDUCAÇÃO SÃO FRANCISCO;FAESF;Faculdade;Privada sem fins lucrativos;Pedreiras;MA;1,2184;2;0
1547;FACULDADE DE MEDICINA ESTÁCIO DE JUAZEIRO DO NORTE;ESTÁCIO FMJ;Faculdade;Privada com fins lucrativos;Juazeiro do Norte;CE;2,3719;3;0
1552;FACULDADE UNINASSAU PARNAÍBA;;Faculdade;Privada com fins lucrativos;Parnaíba;PI;2,2174;3;0
1554;CENTRO UNIVERSITÁRIO DO VALE DO RIBEIRA;UNIVR;Centro Universitário;Privada com fins lucrativos;Registro;SP;2,4446;3;0
1556;CENTRO UNIVERSITÁRIO SETE DE SETEMBRO;UNI7;Centro Universitário;Privada com fins lucrativos;Fortaleza;CE;2,8547;3;0
1557;UNIVERSIDADE FUMEC;FUMEC;Universidade;Privada sem fins lucrativos;Belo Horizonte;MG;2,726;3;0
1558;Faculdade Doctum de João Monlevade;DOCTUM;Faculdade;Privada sem fins lucrativos;João Monlevade;MG;1,8513;2;0
1559;CENTRO UNIVERSITÁRIO DO ESPÍRITO SANTO;UNESC;Centro Universitário;Privada sem fins lucrativos;Colatina;ES;2,0273;3;0
1561;FACULDADE ESAMC SOROCABA;ESAMC;Faculdade;Privada com fins lucrativos;Sorocaba;SP;;SC;0
1563;CENTRO UNIVERSITÁRIO UNINOVAFAPI;UNINOVAFAPI;Centro Universitário;Privada com fins lucrativos;Teresina;PI;1,1425;2;0
1568;FACULDADES DOCTUM DE CARATINGA;DOCTUM;Faculdade;Privada sem fins lucrativos;Caratinga;MG;1,1594;2;0
1569;FACULDADES INTEGRADAS DE ARARAQUARA;FIAR;Faculdade;Privada sem fins lucrativos;Araraquara;SP;2,262;3;0
1572;FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS;FACISA;Faculdade;Privada com fins lucrativos;Itamaraju;BA;2,8023;3;0
1573;FACULDADE ALFREDO NASSER;FAN;Faculdade;Privada sem fins lucrativos;Aparecida de Goiânia;GO;2,7261;3;0
1574;FACULDADE EDUCACIONAL DE MEDIANEIRA;UDC Medianeira;Faculdade;Privada com fins lucrativos;Medianeira;PR;2,2112;3;0
1575;CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ;UNIARAXÁ;Centro Universitário;Privada sem fins lucrativos;Araxá;MG;2,3622;3;0
1580;FACULDADE DE CIÊNCIAS E EDUCAÇÃO SENA AIRES;FACESA;Faculdade;Privada com fins lucrativos;Valparaíso de Goiás;GO;2,1381;3;0
1586;UNIVERSIDADE DO VALE DO SAPUCAÍ;UNIVÁS;Universidade;Privada sem fins lucrativos;Pouso Alegre;MG;1,4151;2;0
1590;FACULDADE ESTÁCIO DE SÃO LUÍS;ESTÁCIO SÃO LUÍS;Faculdade;Privada com fins lucrativos;São Luís;MA;0,8183;1;0
1591;FACULDADE ESTÁCIO MACAPÁ - ESTÁCIO MACAPÁ;ESTÁCIO MACAPÁ;Faculdade;Privada sem fins lucrativos;Macapá;AP;1,5248;2;0
1592;FACULDADE DE ODONTOLOGIA DE MANAUS;FOM;Faculdade;Privada sem fins lucrativos;Manaus;AM;0,0378;1;0
1598;FACULDADE UNA DE UBERLÂNDIA;UNA;Faculdade;Privada com fins lucrativos;Uberlândia;MG;1,6282;2;0
1599;CENTRO UNIVERSITÁRIO PRESIDENTE TANCREDO DE ALMEIDA NEVES;UNIPTAN;Centro Universitário;Privada com fins lucrativos;São João del Rei;MG;2,779;3;0
1600;INSTITUTO DE CIÊNCIAS DA SAÚDE;ICS;Faculdade;Privada sem fins lucrativos;Montes Claros;MG;1,4118;2;0
1601;FACULDADE CIDADE DE COROMANDEL;FCC;Faculdade;Privada sem fins lucrativos;Coromandel;MG;1,6497;2;0
1606;FACULDADES INTEGRADAS DE CASSILÂNDIA;FIC;Faculdade;Privada com fins lucrativos;Cassilândia;MS;1,909;2;0
1612;Faculdade Assis Gurgacz;FAG TOLEDO;Faculdade;Privada sem fins lucrativos;Toledo;PR;4,3343;5;0
1613;FACULDADE ADVENTISTA PARANAENSE;IAP;Faculdade;Privada sem fins lucrativos;Ivatuba;PR;2,2288;3;0
1615;INSTITUTO SUPERIOR DO LITORAL DO PARANÁ;ISULPAR;Faculdade;Privada sem fins lucrativos;Paranaguá;PR;1,1731;2;0
1618;CENTRO UNIVERSITÁRIO SOCIESC DE BLUMENAU;;Centro Universitário;Privada com fins lucrativos;Blumenau;SC;2,3953;3;0
1621;FACULDADE NETWORK;NWK;Faculdade;Privada com fins lucrativos;Nova Odessa;SP;1,5922;2;0
1623;FACULDADE DE CIÊNCIAS AGRÁRIAS DE ANDRADINA;FCAA;Faculdade;Privada sem fins lucrativos;Andradina;SP;1,6961;2;0
1624;FACULDADE MARECHAL RONDON;FMR;Faculdade;Privada sem fins lucrativos;São Manuel;SP;1,0631;2;0
1632;FACULDADE PITÁGORAS DE LONDRINA;;Faculdade;Privada com fins lucrativos;Londrina;PR;1,8984;2;0
1638;FACULDADE DO AMAZONAS;IAES;Faculdade;Privada com fins lucrativos;Manaus;AM;1,1747;2;0
1639;FACULDADE HÉLIO ROCHA;FHR;Faculdade;Privada com fins lucrativos;Salvador;BA;0,6323;1;0
1640;CENTRO UNIVERSITÁRIO UNICENTRO AGES;;Centro Universitário;Privada com fins lucrativos;Paripiranga;BA;1,717;2;0
1641;FACULDADE SOCIAL DA BAHIA;FSBA;Faculdade;Privada sem fins lucrativos;Salvador;BA;1,9299;2;0
1642;FACULDADE DE TECNOLOGIA E CIÊNCIAS DE ITABUNA;FTC;Faculdade;Privada com fins lucrativos;Itabuna;BA;1,1713;2;0
1643;FACULDADE ANÍSIO TEIXEIRA DE FEIRA DE SANTANA;FAT;Faculdade;Privada sem fins lucrativos;Feira de Santana;BA;3,0919;4;0
1645;FACULDADE DE TECNOLOGIA E CIÊNCIAS DE JEQUIÉ;FTC;Faculdade;Privada com fins lucrativos;Jequié;BA;2,4837;3;0
1647;FACULDADE DE ENSINO E CULTURA DO CEARÁ;FAECE;Faculdade;Privada com fins lucrativos;Fortaleza;CE;2,0065;3;0
1656;INSTITUTO DE ENSINO SUPERIOR DE TERESINA;IEST;Faculdade;Privada sem fins lucrativos;Teresina;PI;1,2129;2;0
1657;CENTRO UNIVERSITÁRIO UNISEP;;Centro Universitário;Privada com fins lucrativos;Dois Vizinhos;PR;3,0498;4;0
1658;CENTRO UNIVERSITÁRIO DA GRANDE FORTALEZA;UNIGRANDE;Centro Universitário;Privada com fins lucrativos;Fortaleza;CE;3,1316;4;0
1659;FACULDADE ESTÁCIO DE SÁ DE OURINHOS;FAESO;Faculdade;Privada com fins lucrativos;Ourinhos;SP;1,3112;2;0
1660;CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA;ESTÁCIO BRASÍLIA;Centro Universitário;Privada com fins lucrativos;Brasília;DF;1,886;2;0
1663;FACULDADE ARAGUAIA;FARA;Faculdade;Privada com fins lucrativos;Goiânia;GO;1,3448;2;0
1664;FACULDADE DA SAÚDE E ECOLOGIA HUMANA;FASEH;Faculdade;Privada com fins lucrativos;Vespasiano;MG;3,6228;4;0
1666;CENTRO UNIVERSITÁRIO UNIHORIZONTES;;Centro Universitário;Privada com fins lucrativos;Belo Horizonte;MG;2,1153;3;0
1669;INSTITUTO METROPOLITANO DE ENSINO SUPERIOR;IMES;Faculdade;Privada com fins lucrativos;Ipatinga;MG;2,908;3;0
1670;FACULDADE ASA DE BRUMADINHO;IECEMB - FAB;Faculdade;Privada com fins lucrativos;Brumadinho;MG;1,6845;2;0
1672;INSTITUTO ESPERANÇA DE ENSINO SUPERIOR;IESPES;Faculdade;Privada sem fins lucrativos;Santarém;PA;3,1129;4;0
1675;FACULDADE METROPOLITANA DA GRANDE RECIFE;UNESJ;Faculdade;Privada sem fins lucrativos;Jaboatão dos Guararapes;PE;1,2764;2;0
1676;CENTRO UNIVERSITÁRIO SÃO MIGUEL;UNISÃOMIGUEL;Centro Universitário;Privada com fins lucrativos;Recife;PE;1,9163;2;0
1677;FACULDADE DE ENSINO SUPERIOR DO PIAUÍ;FAESPI;Faculdade;Privada com fins lucrativos;Teresina;PI;1,1098;2;0
1682;FACULDADE SALESIANA MARIA AUXILIADORA;FSMA;Faculdade;Privada sem fins lucrativos;Macaé;RJ;1,4345;2;0
1683;FACULDADE UNINASSAU TERESINA;;Faculdade;Privada com fins lucrativos;Teresina;PI;1,7632;2;0
1690;FACULDADE DE SÃO VICENTE;FSV;Faculdade;Privada com fins lucrativos;São Vicente;SP;2,0979;3;0
1692;ESCOLA SUPERIOR DE TECNOLOGIA E EDUCAÇÃO DE PORTO FERREIRA;ESPF;Faculdade;Privada com fins lucrativos;Porto Ferreira;SP;1,3613;2;0
1694;ESCOLA SUPERIOR DE CRICIÚMA - ESUCRI;ESUCRI;Faculdade;Privada com fins lucrativos;Criciúma;SC;2,821;3;0
1697;CENTRO UNIVERSITÁRIO FACOL;UNIFACOL;Centro Universitário;Privada sem fins lucrativos;Vitória de Santo Antão;PE;2,3518;3;0
1700;FACULDADE PROMOVE DE SETE LAGOAS;FSLMG;Faculdade;Privada com fins lucrativos;Sete Lagoas;MG;2,5815;3;0
1702;CENTRO UNIVERSITÁRIO ESTÁCIO DA AMAZÔNIA;ESTÁCIO AMAZÔNIA;Centro Universitário;Privada com fins lucrativos;Boa Vista;RR;1,4558;2;0
1703;INSTITUTO DE ENSINO SUPERIOR DE RIO VERDE;IESRIVER;Faculdade;Privada sem fins lucrativos;Rio Verde;GO;1,3446;2;0
1708;INSTITUTO PERNAMBUCANO DE ENSINO SUPERIOR;IPESU;Faculdade;Privada com fins lucrativos;Recife;PE;;SC;0
1709;Centro Universitário Tiradentes de Pernambuco;UNIT PE;Centro Universitário;Privada com fins lucrativos;Recife;PE;1,2359;2;0
1710;FACULDADE ANHANGUERA DE NEGÓCIOS E TECNOLOGIAS DA INFORMAÇÃO;;Faculdade;Privada com fins lucrativos;Brasília;DF;1,1738;2;0
1711;FACULDADE DE PRESIDENTE PRUDENTE;FAPEPE;Faculdade;Privada com fins lucrativos;Presidente Prudente;SP;1,6165;2;0
1716;Centro Universitário União das Américas;UNIAMÉRICA;Centro Universitário;Privada sem fins lucrativos;Foz do Iguaçu;PR;2,1261;3;0
1717;Faculdade de Imperatriz Wyden;Facimp Wyden;Faculdade;Privada com fins lucrativos;Imperatriz;MA;0,5074;1;0
1718;FACULDADE NOBRE DE FEIRA DE SANTANA;FAN;Faculdade;Privada com fins lucrativos;Feira de Santana;BA;2,1276;3;0
1721;FACULDADE DE VIÇOSA;FDV;Faculdade;Privada com fins lucrativos;Viçosa;MG;0,7622;1;0
1727;FACULDADE DE CARIACICA;FAC DE CARIACICA;Faculdade;Privada com fins lucrativos;Cariacica;ES;0,9895;2;0
1728;FACULDADE INTERAMERICANA DE PORTO VELHO;UNIRON;Faculdade;Privada com fins lucrativos;Porto Velho;RO;2,293;3;0
1734;Faculdade Integral Diferencial Wyden;Facid Wyden;Faculdade;Privada com fins lucrativos;Teresina;PI;1,7268;2;0
1735;CENTRO UNIVERSITÁRIO DOUTOR LEÃO SAMPAIO;UNILEÃO;Centro Universitário;Privada com fins lucrativos;Juazeiro do Norte;CE;3,9043;4;0
1736;CENTRO UNIVERSITÁRIO LA SALLE DO RIO DE JANEIRO;UNILASALLE/RJ;Centro Universitário;Privada sem fins lucrativos;Niterói;RJ;2,4627;3;0
1738;Faculdade São Lucas Porto Velho;FSL;Faculdade;Privada com fins lucrativos;Porto Velho;RO;2,1033;3;0
1742;FACULDADE DE TECNOLOGIA CARLOS DRUMMOND DE ANDRADE;CSET DRUMMOND;Faculdade;Privada com fins lucrativos;São Paulo;SP;1,3176;2;0
1743;FACULDADE DE TECNOLOGIA OSWALDO CRUZ;FATEC OSWALDO CRUZ;Faculdade;Privada com fins lucrativos;São Paulo;SP;3,5599;4;0
1753;FACULDADE DE ENFERMAGEM NOVA ESPERANÇA;FACENE;Faculdade;Privada com fins lucrativos;João Pessoa;PB;1,4403;2;0
1758;FACULDADE INDEPENDENTE DO NORDESTE;FAINOR;Faculdade;Privada com fins lucrativos;Vitória da Conquista;BA;1,9862;3;0
1759;FACULDADE PADRE JOÃO BAGOZZI;FACULDADE BAGOZZI;Faculdade;Privada sem fins lucrativos;Curitiba;PR;2,313;3;0
1762;FACULDADE DE TECNOLOGIA E NEGÓCIOS CARLOS DRUMMOND DE ANDRADE;;Faculdade;Privada com fins lucrativos;São Paulo;SP;1,1491;2;0
1767;FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS;;Faculdade;Privada com fins lucrativos;Tangará da Serra;MT;1,0105;2;0
1772;Centro Universitário Fanor Wyden;UniFanor Wyden;Centro Universitário;Privada com fins lucrativos;Fortaleza;CE;1,2708;2;0
1773;CENTRO UNIVERSITÁRIO FAI;;Centro Universitário;Privada com fins lucrativos;Itapiranga;SC;2,395;3;0
1774;FACULDADE EDUCACIONAL DE PONTA GROSSA;;Faculdade;Privada com fins lucrativos;Ponta Grossa;PR;1,9075;2;0
1775;Centro Universitário Favip Wyden;UniFavip Wyden;Centro Universitário;Privada com fins lucrativos;Caruaru;PE;4,5777;5;0
1777;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIVINCI;Centro Universitário;Privada com fins lucrativos;Guaramirim;SC;1,7974;2;0
1780;FACULDADE HORIZONTINA;FAHOR;Faculdade;Privada sem fins lucrativos;Horizontina;RS;2,3868;3;0
1783;FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS;FACISA - CELER;Faculdade;Privada sem fins lucrativos;Xaxim;SC;3,2303;4;0
1790;FACULDADE DO SUL DA BAHIA;FASB;Faculdade;Privada sem fins lucrativos;Teixeira de Freitas;BA;2,1937;3;0
1804;FACULDADE DE MAUÁ - FAMA;FAMA;Faculdade;Privada sem fins lucrativos;Mauá;SP;1,2748;2;0
1805;CENTRO UNIVERSITÁRIO DOS GUARARAPES;UNIFG;Centro Universitário;Privada com fins lucrativos;Jaboatão dos Guararapes;PE;1,3954;2;0
1815;FACULDADE DO INSTITUTO BRASIL;FIBRA;Faculdade;Privada com fins lucrativos;Anápolis;GO;;SC;0
1817;Faculdade Estácio de Curitiba;ESTÁCIO CURITIBA;Faculdade;Privada com fins lucrativos;Curitiba;PR;2,1145;3;0
1818;FACULDADE PITÁGORAS DE BELO HORIZONTE;FPAS;Faculdade;Privada com fins lucrativos;Belo Horizonte;MG;2,7555;3;0
1819;CENTRO UNIVERSITÁRIO FARIAS BRITO;;Centro Universitário;Privada com fins lucrativos;Fortaleza;CE;2,2003;3;0
1825;FACULDADE DE ESTUDOS SUPERIORES DE MINAS GERAIS;FEAD;Faculdade;Privada sem fins lucrativos;Belo Horizonte;MG;1,6735;2;0
1828;ESCOLA DA CIDADE - FACULDADE DE ARQUITETURA E URBANISMO;ESCOLA DA CIDADE;Faculdade;Privada sem fins lucrativos;São Paulo;SP;3,5745;4;0
1830;FACULDADE ANHANGUERA DE PASSO FUNDO;;Faculdade;Privada com fins lucrativos;Passo Fundo;RS;2,3915;3;0
1834;FACULDADE DE AGUDOS;FAAG;Faculdade;Privada sem fins lucrativos;Agudos;SP;1,7065;2;0
1835;Faculdade de Colinas do Tocantins;;Faculdade;Privada com fins lucrativos;Colinas do Tocantins;TO;0,8458;1;0
1836;CENTRO UNIVERSITÁRIO FUNDAÇÃO DE ENSINO OCTÁVIO BASTOS - FEOB;UNIFEOB;Centro Universitário;Privada sem fins lucrativos;São João da Boa Vista;SP;1,8491;2;0
1841;CENTRO UNIVERSITÁRIO ANTÔNIO EUFRÁSIO DE TOLEDO DE PRESIDENTE PRUDENTE - TOLEDO PRUDENTE;TOLEDO PRUDENTE;Centro Universitário;Privada sem fins lucrativos;Presidente Prudente;SP;3,153;4;0
1843;FACULDADE DE ADMINISTRAÇÃO DE CAMPO BELO;FACAMP;Faculdade;Privada sem fins lucrativos;Campo Belo;MG;0,7417;1;0
1844;FACULDADES INTEGRADAS STELLA MARIS DE ANDRADINA;FISMA;Faculdade;Privada sem fins lucrativos;Andradina;SP;1,3756;2;0
1846;CENTRO UNIVERSITÁRIO DE LINS;UNILINS;Centro Universitário;Privada sem fins lucrativos;Lins;SP;2,0333;3;0
1847;FACULDADE PITÁGORAS DE IMPERATRIZ;;Faculdade;Privada com fins lucrativos;Imperatriz;MA;;SC;0
1853;Centro Universitário UNIBTA;;Centro Universitário;Privada com fins lucrativos;São Paulo;SP;;SC;0
1854;CLARETIANO - CENTRO UNIVERSITÁRIO;;Centro Universitário;Privada sem fins lucrativos;Rio Claro;SP;1,3087;2;0
1862;FACULDADE DA REGIÃO SERRANA;FARESE;Faculdade;Privada com fins lucrativos;Santa Maria de Jetibá;ES;2,4709;3;0
1864;FACULDADE DE ADMINISTRAÇÃO DA ASSOCIAÇÃO BRASILIENSE DE EDUCAÇÃO;FABE;Faculdade;Privada sem fins lucrativos;Marau;RS;2,5862;3;0
1869;CENTRO UNIVERSITÁRIO DE ITAJUBÁ;FEPI;Centro Universitário;Privada sem fins lucrativos;Itajubá;MG;2,2686;3;0
1872;FACULDADES INTEGRADAS SANTA CRUZ DE CURITIBA;FARESC;Faculdade;Privada sem fins lucrativos;Curitiba;PR;2,1823;3;0
1878;CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL INACIANA PE SABÓIA DE MEDEIROS;FEI;Centro Universitário;Privada sem fins lucrativos;São Bernardo do Campo;SP;3,8215;4;0
1879;Centro Universitário UNIFACEAR;;Centro Universitário;Privada com fins lucrativos;Araucária;PR;1,8217;2;0
1883;CENTRO UNIVERSITÁRIO UNIFAS;;Centro Universitário;Privada com fins lucrativos;Lauro de Freitas;BA;2,6738;3;0
1885;CENTRO UNIVERSITÁRIO UNIDADE DE ENSINO SUPERIOR DOM BOSCO;UNDB;Centro Universitário;Privada com fins lucrativos;São Luís;MA;2,6045;3;0
1892;Centro Universitário de Excelência Eniac;ENIAC;Centro Universitário;Privada com fins lucrativos;Guarulhos;SP;1,3969;2;0
1893;Faculdade Unirb - Feira de Santana;;Faculdade;Privada com fins lucrativos;Feira de Santana;BA;1,569;2;0
1895;CENTRO UNIVERSITÁRIO CHRISTUS;UNICHRISTUS;Centro Universitário;Privada com fins lucrativos;Fortaleza;CE;3,6074;4;0
1898;FACULDADE DO LITORAL SUL PAULISTA;FALS;Faculdade;Privada com fins lucrativos;Praia Grande;SP;2,1002;3;0
1900;Centro Universitário do Paraná;UniFaesp;Centro Universitário;Privada sem fins lucrativos;Curitiba;PR;2,0514;3;0
1904;FACULDADE SÃO CAMILO;FASC;Faculdade;Privada sem fins lucrativos;Rio de Janeiro;RJ;1,4759;2;0
1906;INSTITUTO DE ENSINO SUPERIOR MATERDEI;IES-MATERDEI;Faculdade;Privada com fins lucrativos;Manaus;AM;1,9403;2;0
1910;FACULDADE UNINASSAU LAURO DE FREITAS;;Faculdade;Privada com fins lucrativos;Lauro de Freitas;BA;1,0816;2;0
1913;CENTRO UNIVERSITÁRIO FAMINAS;UNIFAMINAS;Centro Universitário;Privada com fins lucrativos;Muriaé;MG;2,9432;3;0
1917;FACULDADE DE CIÊNCIAS BIOMÉDICAS DE CACOAL;FACIMED;Faculdade;Privada com fins lucrativos;Cacoal;RO;2,6288;3;0
1918;FACULDADE CAPIVARI;FUCAP;Faculdade;Privada com fins lucrativos;Capivari de Baixo;SC;1,6011;2;0
1927;CENTRO UNIVERSITÁRIO DO VALE DO IGUAÇU;UNIGUAÇU;Centro Universitário;Privada com fins lucrativos;União da Vitória;PR;3,2578;4;0
1936;FACULDADE LA SALLE;;Faculdade;Privada sem fins lucrativos;Lucas do Rio Verde;MT;2,5105;3;0
1939;INSTITUTO DE ENSINO SUPERIOR DE LONDRINA - INESUL;INESUL;Faculdade;Privada com fins lucrativos;Londrina;PR;1,945;2;0
1944;FACULDADE DE TECNOLOGIA IBRATEC;IBRATEC;Faculdade;Privada com fins lucrativos;Recife;PE;1,1741;2;0
1945;FACULDADE DE SORRISO;;Faculdade;Privada com fins lucrativos;Sorriso;MT;3,0032;4;0
1949;CENTRO UNIVERSITÁRIO DE PAULÍNIA;UNIFACP;Centro Universitário;Privada com fins lucrativos;Paulínia;SP;1,8166;2;0
1952;CENTRO UNIVERSITÁRIO CATHEDRAL;;Centro Universitário;Privada com fins lucrativos;Barra do Garças;MT;2,4311;3;0
1956;FACULDADE REGIONAL BRASILEIRA - MACEIÓ;IBESA;Faculdade;Privada sem fins lucrativos;Maceió;AL;1,1088;2;0
1961;INSTITUTO TECNOLÓGICO E DAS CIÊNCIAS SOCIAIS APLICADAS E DA SAÚDE DO CENTRO EDUC. N. SRª AUXILIADORA;ITCSAS/CENSA;Faculdade;Privada sem fins lucrativos;Campos dos Goytacazes;RJ;3,023;4;0
1964;FACULDADE DE TECNOLOGIA EM HOTELARIA, GASTRONOMIA E TURISMO DE SÃO PAULO;HOTEC;Faculdade;Privada com fins lucrativos;São Paulo;SP;1,7857;2;0
1965;FACULDADE DE TECNOLOGIA DE ALAGOAS;FAT/AL;Faculdade;Privada sem fins lucrativos;Maceió;AL;1,4231;2;0
1967;FACULDADE DO VALE DO ITAPECURÚ;FAI;Faculdade;Privada com fins lucrativos;Caxias;MA;1,4232;2;0
1970;FACULDADE DO ESPÍRITO SANTO;UNES;Faculdade;Privada com fins lucrativos;Cachoeiro de Itapemirim;ES;3,0666;4;0
1978;Centro Universitário Fametro;Unifametro;Centro Universitário;Privada com fins lucrativos;Fortaleza;CE;2,864;3;0
1984;Centro Universitário Unifacig;;Centro Universitário;Privada com fins lucrativos;Manhuaçu;MG;1,7583;2;0
1986;CENTRO UNIVERSITÁRIO ESTÁCIO JUIZ DE FORA - ESTÁCIO JUIZ DE FORA;;Centro Universitário;Privada com fins lucrativos;Juiz de Fora;MG;1,9781;3;0
1988;CENTRO UNIVERSITARIO AVANTIS;UNIAVAN;Centro Universitário;Privada com fins lucrativos;Balneário Camboriú;SC;2,2362;3;0
1995;FACULDADE DE MEDICINA NOVA ESPERANÇA;FAMENE;Faculdade;Privada com fins lucrativos;João Pessoa;PB;2,2388;3;0
1996;INSTITUTO CUIABÁ DE ENSINO E CULTURA;ICEC;Faculdade;Privada com fins lucrativos;Cuiabá;MT;1,7283;2;0
2005;FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE SINOP;FACISAS;Faculdade;Privada com fins lucrativos;Sinop;MT;2,46;3;0
2009;FACULDADE DE TAQUARITINGA;FTGA;Faculdade;Privada com fins lucrativos;Taquaritinga;SP;0;1;0
2023;Centro Universitário FG;UNIFG;Centro Universitário;Privada com fins lucrativos;Guanambi;BA;2,2309;3;0
