Nome da IES;Código e-MEC da IES;Organização Acadêmica da IES;UF da IES
FACULDADE MARANHENSE SÃO JOSÉ DOS COCAIS;17498;Faculdade;MA
FACULDADE HÉLIO ROCHA;17499;Faculdade;BA
FACULDADE DE EDUCAÇÃO DE JARU;17553;Faculdade;RO
Faculdade América;17559;Faculdade;ES
Faculdade Presidente Antônio Carlos de Ubá;17565;Faculdade;MG
FACULDADE DE CIÊNCIAS CONTÁBEIS DE RECIFE;17593;Faculdade;PE
FACULDADES INTEGRADAS CESUMAR DE CURITIBA;17622;Faculdade;PR
Faculdade de Ciências Jurídicas de Alagoinhas;17628;Faculdade;BA
FACULDADES JOÃO PAULO II - PELOTAS;17632;Faculdade;RS
FACULDADE SINOP;17662;Faculdade;MT
INSTITUTO DE EDUCAÇÃO SUPERIOR DE POUSO ALEGRE;17670;Faculdade;MG
FACULDADE MINAS GERAIS;17680;Faculdade;MG
FACULDADE SÃO VICENTE;17749;Faculdade;AL
FACULDADE DE SUMARÉ;17763;Faculdade;SP
Faculdade Presidente Antônio Carlos de Ribeirão das Neves;17775;Faculdade;MG
Faculdade Metropolitana de Florianópolis;17777;Faculdade;SC
Faculdade Maurício de Nassau de Caxias do Sul;17803;Faculdade;RS
FACULDADE MAURÍCIO DE NASSAU DE ITABUNA;17816;Faculdade;BA
FACULDADE METROPOLITANA DE ITAJAÍ;17828;Faculdade;SC
Faculdade Metropolitana do Estado de São Paulo;17831;Faculdade;SP
Faculdade Noroeste do Mato Grosso;17839;Faculdade;MT
FACULDADE DE VITÓRIA;17854;Faculdade;ES
Faculdade Pitágoras da Serra;17887;Faculdade;ES
FACULDADE SALESIANA DO NORDESTE;17896;Faculdade;PE
Faculdade de Araraquara;17933;Faculdade;SP
FACULDADE DE TECNOLOGIA SENAI ROBERTO MANGE;18009;Faculdade;GO
Faculdade de Ciências Jurídicas de Serrinha;18010;Faculdade;BA
FACULDADE DE TECNOLOGIA FAESA - VILA VELHA;18023;Faculdade;ES
FACULDADE INTEGRADA DE LONDRINA;18033;Faculdade;PR
FACULDADE JK - UNIDADE I - GAMA;18034;Faculdade;DF
FACULDADE DE SERTÃOZINHO;18048;Faculdade;SP
Faculdade de Educação e Estudos Sociais de Uberlândia;18051;Faculdade;MG
FACULDADE FACMIL;18059;Faculdade;SP
FACULDADE MAURÍCIO DE NASSAU DE CAMPINAS;18062;Faculdade;SP
FACULDADE BRASILEIRA DE TECNOLOGIA;18065;Faculdade;SE
ESCOLA SUPERIOR DE ADMINISTRAÇÃO DE EMPRESAS;18067;Faculdade;SP
ESCOLA SUPERIOR DE ADMINISTRAÇÃO E GESTÃO STRONG;18073;Faculdade;SP
FACULDADE DE CIÊNCIA E TECNOLOGIA;18075;Faculdade;PR
FACULDADE ESCOLA DE NEGÓCIOS EXCELLENCE;18077;Faculdade;MA
FACULDADE DE CIÊNCIAS HUMANAS DE CRUZEIRO;18114;Faculdade;SP
FACULDADE DE EDUCAÇÃO DE ASSIS;18115;Faculdade;SP
FACULDADE METODISTA DE SANTA MARIA;18133;Faculdade;RS
Faculdade de Ciências Jurídicas de Guanambi;18147;Faculdade;BA
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS;18148;Faculdade;MT
Faculdade  São Joaquim da Barra;18201;Faculdade;SP
FACULDADE DE ORLÂNDIA;18208;Faculdade;SP
Faculdade Presidente Antônio Carlos de Itanhandu;18253;Faculdade;MG
FACULDADE DE CIÊNCIAS MÉDICAS E DA SAÚDE DE JUIZ DE FORA;18290;Faculdade;MG
FACULDADES JOÃO PAULO II;18296;Faculdade;RS
Faculdade Presidente Antônio Carlos de Itambacuri;18372;Faculdade;MG
FACULDADE DE CIÊNCIAS HUMANAS DE PERNAMBUCO;18383;Faculdade;PE
INSTITUTO DE ENSINO SUPERIOR DE GARÇA;18454;Faculdade;SP
FACULDADE DE SÃO BERNARDO DO CAMPO;18462;Faculdade;SP
Faculdade Israelita de Ciências da Saúde Albert Einstein;18471;Faculdade;SP
FACULDADE DE ECONOMIA E PROCESSAMENTO DE DADOS DE FOZ DO IGUAÇU;18474;Faculdade;PR
FACULDADE CATÓLICA DE ANÁPOLIS;18490;Faculdade;GO
FACULDADES DO VALE DO ARARANGUA - FVA;18526;Faculdade;SC
Faculdade Pitágoras de Luziânia;18623;Faculdade;GO
FACULDADE DE CIÊNCIAS HUMANAS E BIOLÓGICAS E DA SAÚDE;18625;Faculdade;MT
Faculdades Doctum de Guarapari;18626;Faculdade;ES
FACULDADE PROMOVE DE CURVELO;18627;Faculdade;MG
FACULDADE JK BRASÍLIA -SAMAMBAIA;18628;Faculdade;DF
Faculdade Presidente Antônio Carlos de Leopoldina;18631;Faculdade;MG
Faculdades Magsul;18636;Faculdade;MS
Faculdade Estácio Cotia;18639;Faculdade;SP
Faculdade CNEC de Educação de Uberaba;18642;Faculdade;MG
FACULDADES JOÃO PAULO II - Campus Porto Alegre;18643;Faculdade;RS
FACULDADE DO ACRE;18649;Faculdade;AC
FACULDADE DE ADMINISTRAÇÃO CIÊNCIAS ECON E CONTÁBEIS DE GUARATINGUETÁ;18652;Faculdade;SP
FACULDADE DA REGIÃO SERRANA;18653;Faculdade;ES
FACULDADE DO INSTITUTO SUPERIOR DE EDUCAÇÃO - ISE;18659;Faculdade;PR
FACULDADE DE INFORMÁTICA DO RECIFE;18667;Faculdade;PE
FACULDADE EVANGÉLICA DE JARAGUÁ;18684;Faculdade;GO
Faculdade de Ciências Jurídicas de Campina Grande;18700;Faculdade;PB
ALFA - Faculdade de Almenara;18708;Faculdade;MG
FACULDADE PRAIA GRANDE;18711;Faculdade;SP
FACULDADE FILADÉLFIA;18714;Faculdade;SP
Faculdade Maurício de Nassau de Uberlândia;18716;Faculdade;MG
FACULDADE CNEC ITABORAÍ;18726;Faculdade;RJ
FACULDADE SÃO BENTO DA BAHIA;18735;Faculdade;BA
Faculdade Uninassau Patos;18814;Faculdade;PB
Faculdade Maurício de Nassau de Betim;18874;Faculdade;MG
FACULDADE VICTOR HUGO;18896;Faculdade;MG
FACULDADE DE ADMINISTRAÇÃO MILTON CAMPOS;18956;Faculdade;MG
FACULDADE METROPOLITANA DE CAMAQUÃ;18978;Faculdade;RS
FACULDADE PERNAMBUCANA DE SAÚDE ;19172;Faculdade;PE
Faculdade de Ciências de Timbaúba;19189;Faculdade;PE
ESCOLA SUPERIOR DE SAÚDE DE ARCOVERDE;19255;Faculdade;PE
INSTITUTO DE ENSINO SUPERIOR SANTA CECÍLIA;19256;Faculdade;AL
FACULDADE DE ADMINISTRAÇÃO E NEGÓCIOS;19257;Faculdade;AL
FACULDADE DE ADMINISTRAÇÃO DA FESPSP;19260;Faculdade;SP
FACULDADE AMADEUS;19272;Faculdade;SE
FACULDADE EUGÊNIO GOMES;19283;Faculdade;BA
FACULDADE DE AURIFLAMA;19284;Faculdade;SP
FACULDADE JK - UNIDADE II - GAMA;19287;Faculdade;DF
FACULDADE ANTÔNIO MENEGHETTI;19297;Faculdade;RS
Faculdade de Paraíso do Norte;19298;Faculdade;PR
Faculdade Vidal de Limoeiro;19323;Faculdade;CE
Faculdade Guairacá de Prudentópolis;19324;Faculdade;PR
FACULDADE EUROPÉIA DE ADMINISTRAÇÃO E MARKETING;19327;Faculdade;PE
ESCOLA SUPERIOR DE ARTES CÉLIA HELENA;19329;Faculdade;SP
Faculdade Pitágoras de Jaboatão dos Guararapes;19331;Faculdade;PE
FACULDADE PIAUIENSE DE PROCESSAMENTO DE DADOS;19335;Faculdade;PI
FACULDADE DE ITÁPOLIS - FACITA;19337;Faculdade;SP
FACULDADE DE PENÁPOLIS;19343;Faculdade;SP
Centro de Ensino Superior de Conselheiro Lafaiete;19375;Faculdade;MG
FACULDADE SABERES;19404;Faculdade;ES
INSTITUTO SUPERIOR DE EDUCAÇÃO DO CENTRO EDUCACIONAL NOSSA SENHORA AUXILIADORA;19408;Faculdade;RJ
Faculdade Pitágoras de Paragominas;19476;Faculdade;PA
"Faculdade de Ciências; Educação e Teologia do Norte do Brasil ";19512;Faculdade;RR
FACULDADE ATENAS PASSOS;19542;Faculdade;MG
FACULDADE DE TECNOLOGIA FRANCISCO MORATO;19555;Faculdade;SP
Faculdade Pitágoras de Irecê;19587;Faculdade;BA
FACULDADE DE CIÊNCIAS ECONÔMICAS;19597;Faculdade;SP
FACULDADE DOM ALBERTO;19607;Faculdade;RS
Faculdade Metropolitana de Maracanaú;19632;Faculdade;CE
FACULDADE DE BARUERI;19674;Faculdade;SP
FACULDADE CAL DE ARTES CÊNICAS;19733;Faculdade;RJ
"FACULDADE FELUMA - SAÚDE; TECNOLOGIA E CIÊNCIA";19735;Faculdade;MG
Faculdade Waldir Filho;19781;Faculdade;MA
FACULDADE DE SAÚDE SANTO AGOSTINHO DE VITÓRIA DA CONQUISTA;19783;Faculdade;BA
FACULDADE CNEC RIO DAS OSTRAS;19785;Faculdade;RJ
FACULDADE DE TECNOLOGIA SENAI ÍTALO BOLOGNA;19786;Faculdade;GO
FACULDADE PRINCESA DO OESTE;19787;Faculdade;CE
Faculdade Dom Pedro II de Barreiras;19791;Faculdade;BA
FACULDADE EVANGÉLICA DE SENADOR CANEDO;19842;Faculdade;GO
FACULDADE DE CIÊNCIAS DO TOCANTINS;19844;Faculdade;TO
FACULDADE DE SÃO MARCOS;19846;Faculdade;RS
Faculdade Sapiens;19851;Faculdade;RO
FACULDADE DE ENSINO SUPERIOR SANTA BARBARA;19853;Faculdade;SP
FACULDADE SÃO CAMILO;19865;Faculdade;BA
FACULDADE SENAC CHAPECÓ;19866;Faculdade;SC
FACULDADE MAURÍCIO DE NASSAU SÃO BERNARDO DO CAMPO;19943;Faculdade;SP
FACULDADE INTERMUNICIPAL DO NOROESTE DO PARANÁ;19945;Faculdade;PR
"FACULDADE DE CIÊNCIAS HUMANAS;EXATAS E DA SAÚDE DO PIAUÍ";19963;Faculdade;PI
FACULDADES PEQUENO PRÍNCIPE;19966;Faculdade;PR
FACULDADE DE CIÊNCIAS GERENCIAIS E EMPREENDEDORISMO - FACIGE;20090;Faculdade;MG
FACULDADE INTEGRADA DAS CATARATAS;20105;Faculdade;PR
FACULDADE DE SOROCABA;20110;Faculdade;SP
FACULDADE DO VALE ELVIRA DAYRELL - FAVED;20200;Faculdade;MG
FACULDADE DE CIÊNCIAS HUMANAS DE CURVELO;20322;Faculdade;MG
FACULDADE DE TECNOLOGIA SENAI DE DESENVOLVIMENTO GERENCIAL;20330;Faculdade;GO
FACULDADE DE RECIFE;20494;Faculdade;PE
FACULDADE DE DIREITO DE CACHOEIRO DO ITAPEMIRIM;20499;Faculdade;ES
FACULDADE UNIME DE CIÊNCIAS JURÍDICAS;20532;Faculdade;BA
Faculdade de Ciências Médicas Aggeu Magalhães;20541;Faculdade;PE
FACULDADE REINALDO RAMOS;20547;Faculdade;PB
FACULDADE DE MEDICINA DE BARBACENA;20548;Faculdade;MG
FACULDADES NETWORK - CAMPUS SUMARÉ;20561;Faculdade;SP
FACULDADE DE DIREITO DE TANGARÁ DA SERRA;20574;Faculdade;MT
FACULDADE PRUDENTE DE MORAES;20587;Faculdade;SP
FACULDADE ATENAS SETE LAGOAS;20591;Faculdade;MG
FACULDADE DE CIÊNCIAS APLICADAS DE LIMOEIRO;20605;Faculdade;PE
FACULDADE DE CIÊNCIAS DA ADMINISTRAÇÃO DE GARANHUNS;20606;Faculdade;PE
FACULDADE FIA DE ADMINISTRAÇÃO E NEGÓCIOS;20607;Faculdade;SP
Faculdade do Complexo Educacional Santo André;20636;Faculdade;RN
FACULDADE DE BIBLIOTECONOMIA E CIÊNCIA DA INFORMAÇÃO;20643;Faculdade;SP
FACULDADE BRASILIENSE DE NEGÓCIOS;20700;Faculdade;DF
FACITEN - FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE NATAL;21108;Faculdade;RN
Faculdade Estácio de Alagoinhas;21238;Faculdade;BA
FACULDADE DE MEDICINA DE ITAJUBÁ;21239;Faculdade;MG
FACULDADE DO CARIRI PARAIBANO;21240;Faculdade;PB
FACULDADE PIO DECIMO DE CANINDE DO SAO FRANCISCO;21262;Faculdade;SE
FACULDADE CENECISTA DE SETE LAGOAS;21275;Faculdade;MG
Faculdade Novoeste;21280;Faculdade;MS
Faculdade Pitágoras de Bom Jesus da Lapa;21281;Faculdade;BA
Faculdade de Ciências de Goiana;21365;Faculdade;PE
FACULDADE BARDDAL DE CIÊNCIAS CONTÁBEIS;21367;Faculdade;SC
FACULDADE DE TECNOLOGIA TECMED;21368;Faculdade;SP
INSTITUTO SUPERIOR DE EDUCAÇÃO DE GARÇA;21371;Faculdade;SP
FACULDADE SÃO TOMAZ DE AQUINO;21398;Faculdade;BA
FACULDADE ITANHAÉM;21399;Faculdade;SP
FACULDADE DE EDUCAÇÃO DE GUARATINGUETÁ;21415;Faculdade;SP
Faculdade SENAI da Paraíba;21426;Faculdade;PB
FACULDADE UNIRB - TERESINA;21502;Faculdade;PI
Instituto Politécnico Doctum de Guarapari;21553;Faculdade;ES
FACULDADE LABORO;21554;Faculdade;MA
FACULDADE SANTO AGOSTINHO DE ITABUNA;21586;Faculdade;BA
FACULDADE TRÊS PONTAS;21587;Faculdade;MG
FACULDADE TIRADENTES DE JABOATÃO DOS GUARARAPES;21589;Faculdade;PE
TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS-;21593;Faculdade;SP
Faculdade Via Sapiens;21675;Faculdade;CE
"FACULDADE DE TEOLOGIA; FILOSOFIA E CIÊNCIAS HUMANAS GAMALIEL";21676;Faculdade;PA
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS CARLOS QUEIROZ;21687;Faculdade;SP
FACULDADE VITORIANA DE CIÊNCIAS CONTÁBEIS;21691;Faculdade;ES
Faculdade de Ciências Médicas de Três Rios;21693;Faculdade;RJ
Faculdade de Tecnologia SENAI Dourados;21764;Faculdade;MS
FACULDADE LUTERANA RUI BARBOSA;21834;Faculdade;PR
ATOPP BRASIL FACULDADE DE NEGÓCIOS;21877;Faculdade;PR
FACULDADE COTEMIG;21878;Faculdade;MG
Facudade de Morrinhos;21882;Faculdade;GO
FACULDADE DE DIREITO DO SUL DE MINAS;21892;Faculdade;MG
FACULDADE DE DIREITO UNIDADE GUARAPARI;21900;Faculdade;ES
Faculdade Pitágoras de Medicina de Eunápolis;21924;Faculdade;BA
Faculdade Pitágoras de Alagoinhas;21938;Faculdade;BA
FACULDADE DE ARAÇATUBA;21955;Faculdade;SP
FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS DE MINAS GERAIS;21956;Faculdade;MG
Faculdade Paulista de Serviço Social de São Caetano do Sul;21992;Faculdade;SP
Faculdade Comercial de Serrinha;22000;Faculdade;BA
Faculdade de Ciências Médicas de São José dos Campos;22059;Faculdade;SP
INSTITUTO SUPERIOR DE EDUCAÇÃO ALMEIDA RODRIGUES;22076;Faculdade;GO
FACULDADE DE CIÊNCIAS HUMANAS DE ITABIRA;22088;Faculdade;MG
Faculdade Doctum de Carangola;22093;Faculdade;MG
ESCOLA SUPERIOR DE AVIAÇÃO CIVIL;22100;Faculdade;PB
INSTITUTO SUPERIOR DE EDUCAÇÃO SANTA RITA DE CÁSSIA;22104;Faculdade;GO
Faculdade Presidente Antônio Carlos de Bocaiúva;22121;Faculdade;MG
FACULDADE DE BELÉM;22124;Faculdade;PA
FACULDADE DE CIÊNCIAS AGRÁRIAS DE ARARIPINA;22127;Faculdade;PE
FACULDADE DE CIÊNCIAS AGRÁRIAS DE ANDRADINA;22128;Faculdade;SP
FACULDADE PARAIBANA DE PROCESSAMENTO DE DADOS;22129;Faculdade;PB
Faculdade de Direito de Ipatinga;22136;Faculdade;MG
FACULDADE WENCESLAU BRAZ;22153;Faculdade;MG
Faculdade de Direito 8 de Julho;22157;Faculdade;SE
Faculdade de Ciências da Saúde de Serra Talhada;22170;Faculdade;PE
Faculdade Plus;22175;Faculdade;CE
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE CONGONHAS;22191;Faculdade;MG
FACULDADE DE COMUNICAÇÃO PITÁGORAS UNIDADE GUARAPARI;22194;Faculdade;ES
FACULDADE DE MEDICINA DE PETRÓPOLIS;22197;Faculdade;RJ
FACULDADE DE CORNÉLIO PROCÓPIO;22202;Faculdade;PR
INSTITUTO METROPOLITANO DE ENSINO SUPERIOR;22219;Faculdade;MG
FACULDADE DE ADMINISTRAÇÃO DE CATAGUASES;22227;Faculdade;MG
FACULDADE DE CIÊNCIAS BIOMÉDICAS DO ESPÍRITO SANTO;22229;Faculdade;ES
SOBRESP - Faculdade de Ciências da Saúde;22235;Faculdade;RS
FACULDADE DE CURITIBA;22245;Faculdade;PR
FACULDADE GIANNA BERETTA;22514;Faculdade;MA
