Nome da IES;Código e-MEC da IES;Organização Acadêmica da IES;UF da IES
Faculdade Única de Ipatinga;2568;Faculdade;MG
Faculdade Rebouças de Campina Grande;2569;Faculdade;PB
FACULDADES INTEGRADAS DE FERNANDÓPOLIS;2571;Faculdade;SP
FACULDADE DE CIÊNCIAS DE TIMBAÚBA;2576;Faculdade;PE
FACULDADES INTEGRADAS APARÍCIO CARVALHO;2579;Faculdade;RO
FACULDADE UNIDA DE CAMPINAS;2581;Faculdade;GO
Faculdades Unificadas de Iúna;2582;Faculdade;ES
FACULDADE DE EDUCAÇÃO E CIÊNCIAS GERENCIAIS DE SÃO PAULO;2593;Faculdade;SP
FACULDADE INTEGRADA DE SANTA MARIA;2613;Faculdade;RS
FACULDADE SANTA MARIA DA GLÓRIA;2616;Faculdade;PR
INSTITUTO ESPERANÇA DE ENSINO SUPERIOR;2620;Faculdade;PA
Faculdade Meta;2624;Faculdade;AC
FACULDADE ESTÁCIO DE SÁ DE CAMPO GRANDE;2625;Faculdade;MS
FACULDADE GUAIRACÁ;2632;Faculdade;PR
FACULDADE DE PRESIDENTE EPITÁCIO - FAPE;2636;Faculdade;SP
Faculdade Estácio de Jaraguá do Sul;2642;Faculdade;SC
FACULDADES INTEGRADAS DE TAQUARA;2647;Faculdade;RS
INSTITUTO SUPERIOR DE EDUCAÇÃO CAMPO LIMPO PAULISTA;2656;Faculdade;SP
FACULDADE DE TECNOLOGIA SENAC MINAS - UNIDADE BARBACENA;2687;Faculdade;MG
FACULDADE TRIÂNGULO MINEIRO;2703;Faculdade;MG
FACULDADE DE GESTAO E NEGOCIOS DE FORTALEZA;2723;Faculdade;CE
INSTITUTO NACIONAL DE TELECOMUNICAÇÕES;2724;Faculdade;MG
Faculdade CNEC Joinville;2726;Faculdade;SC
FACULDADE CNEC UNAÍ;2741;Faculdade;MG
FACULDADE SÃO FRANCISCO DO CEARÁ;2745;Faculdade;CE
FACULDADE UNINASSAU PETROLINA;2753;Faculdade;PE
CENTRO UNIVERSITÁRIO DE SALVADOR;2754;Centro Universitário;BA
UNIVERSIDADE DO VALE DO SAPUCAÍ;2755;Universidade;MG
FACULDADE METROPOLITANA DE RIO DO SUL;2756;Faculdade;SC
FACULDADE DO ESPÍRITO SANTO;2763;Faculdade;ES
Faculdade AGES de Medicina;2766;Faculdade;BA
Faculdade Área1 Wyden;2770;Faculdade;BA
